id,political_party,tweet
1344003755268698112,ciudadanos,"👎La gestión del Gobierno ha sido nefasta:  ❌Uso partidista de la pandemia.  ❌No ayuda a autónomos y pymes.  ❌Plantea indultos a cambio de apoyos.  ❌Mercadea con el CGPJ.    📻 @MelisaRguezH ""Cs, en cambio, ha demostrado estar a la altura de los españoles"" en @CAPITALRADIOB  https://t.co/N1DEL7Sl9X"
1343967517585399809,ciudadanos,❗Termina el año y los reclamos de los españoles siguen pendientes.   ❌ Menos indultos para quienes intentan romper España.  ✅ Más ayudas directas para las familias.   🚫 Basta ya de concesiones al separatismo.  https://t.co/LG1euc913N
1343932920352935936,ciudadanos,"❌ La permisividad de la señora Colau ante la okupación ilegal es intolerable.   📡 @Carrizosacarlos ""Si Cs gobierna en Cataluña se impulsará una ley #STOPOkupas que proteja a los propietarios y a las comunidades ante esta injusticia” #ActualidadCs  https://t.co/eBStTL6a19"
1343932260152717313,ciudadanos,"⚠️ @Carrizosacarlos ""Barcelona es un ensayo catastrófico del tripartito que pretenden poner en marcha ERC, PSC y Comuns en Cataluña"" #ActualidadCs    👉 Mientras Madrid atrae a nuevas empresas, Barcelona las pierde.   ❗️ ¡Hay que revertir esa situación!  https://t.co/BRN8zUTCDB"
1343931566993645571,ciudadanos,"👉 Mientras que en Madrid se ayuda a hosteleros y comerciantes, en Cataluña se les da la espalda.   🛑¡Basta ya de dejación por parte del Govern!  📡 @Carrizosacarlos ""Madrid es el claro ejemplo de que hay otra forma de tratar a los sectores productivos” #ActualidadCs  https://t.co/ZUYa9EPtCT"
1343930618451783680,ciudadanos,"✅Hay que apostar por la hostelería y el comercio, porque significa apostar por el empleo.   👉 En Madrid se han bajado los impuestos, por lo que es posible hacerlo también en Barcelona.   📡@Begonavillacis ""Pedimos al Gobierno de España que apruebe ayudas directas"" #ActualidadCs  https://t.co/UiyESgYtI3"
1343929883387428867,ciudadanos,"✅ En el Ayto. de @MADRID hemos demostrado generosidad con los Pactos de la Villa y los Presupuestos.   👉 Nuestra prioridad han sido los madrileños.  📡@begonavillacis ""Nuestras pymes y autónomos sufren y cuentan con nuestro apoyo para resistir"" #ActualidadCs  https://t.co/t9WrGCTtGG"
1343929166341808129,ciudadanos,"🔙 Barcelona siempre ha sido un ejemplo de ciudad cosmopolita.   👎 Pero el tripartito lo ha echado todo por tierra con delirios separatistas.  🍊 @Begonavillacis ""Madrid y Barcelona no tienen que competir, pueden ser perfectas aliadas en el mundo global"" #ActualidadCs  https://t.co/UH84LNvAKi"
1343928611544461409,ciudadanos,"⚠️Barcelona es un campo de pruebas del tripartito que quieren llevar a cabo ERC, Socialistas y Comunes en Cataluña.   🍊 @MLuzGuilarte ""Con su mala gestión han degradado a Barcelona y han empobrecido a los barceloneses"" #ActualidadCs  https://t.co/kQd7J8pK6G"
1343927304372838401,ciudadanos,"🍊 @Carrizosacarlos, @Begonavillacis y @MLuzGuilarte se han reunido hoy con el Gremio de Restauradores y el de Hosteleros y han visitado el Ayuntamiento de Barcelona.    📡 Después han ofrecido una rueda de prensa, ¡te dejamos un resumen!  https://t.co/vFazJdbVt5"
